STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PAY_PERIOD,Pay period,PRICE_BASE,Price base,AGGREGATION_OPERATION,Aggregation operation,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2007,,53631.832,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2006,,51446.568,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2005,,49312.246,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2004,,47157.534,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2003,,45470.698,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2002,,44699.588,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2022,,78010.554,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2021,,74811.094,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2020,,72363.951,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2019,,68998.997,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2018,,67478.018,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2017,,65499.351,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2016,,63912.589,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2015,,64611.071,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2014,,63484.563,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2013,,61476.824,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2012,,60031.81,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2011,,58572.727,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2009,,72836.359,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2008,,72365.673,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2007,,71117.184,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2006,,69267.359,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2009,,55833.031,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,2010,,56679.653,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2010,,72966.205,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2005,,67220.429,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2004,,65333.247,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2003,,63951.505,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2002,,63931.725,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2001,,64451.236,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2000,,64717.554,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2023,,81036.63,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2022,,80858.73,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2021,,81822.378,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2020,,81437.674,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2019,,78221.745,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2018,,77750.107,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2017,,76673.72,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2016,,75599.329,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2015,,77059.904,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2014,,76496.949,,2023,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,CAN,Canada,WG,Wages,CAD,Canadian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2013,,75510.421,,2023,,A,Normal value,0,Units,0,Zero
